,Zone,Importation (KTonnes),Population en Milliers,Exportation (KTonnes),Production (KTonnes)
122,Tchad,6.0,15016.753,0.0,1.0
123,Tchéquie,163.0,10641.034,27.0,116.0
124,Thaïlande,1676.0,69209.81,796.0,2.0
125,Togo,40.0,7698.474,0.0,16.0
126,Trinité-et-Tobago,61.0,1384.059,0.0,23.0
127,Tunisie,213.0,11433.443,4.0,0.0
128,Turquie,2192.0,81116.45,429.0,3.0
129,Ukraine,1211.0,44487.709,273.0,121.0
130,Uruguay,33.0,3436.641,3.0,3.0
131,Venezuela (République bolivarienne du),600.0,29402.484,0.0,25.0
132,Viet Nam,918.0,94600.648,1.0,291.0
133,Yémen,168.0,27834.819,0.0,78.0
134,Zambie,49.0,16853.599,1.0,12.0
